_id,task,label,difficulty,correct_answer,target_image,presented_images[0],presented_images[1],presented_images[2],presented_images[3],group_order,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ppt_id,correct,__v,response.age,response.gender,response.english_first,response.response,participant_response,final_response,correct_response,response.ppt_id_manual
686d609cd749baecad1a7963,comprehension,hoe,4,3,images/hoe.jpg,images/dustpan.jpg,images/beaker.jpg,images/hoe.jpg,images/peg.jpg,CP,,,,html-button-response,49,2.1.0,220865,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7965,comprehension,cymbal,4,1,images/cymbal.jpg,images/cymbal.jpg,images/ferry.jpg,images/mallet.jpg,images/kaleidoscope.jpg,CP,,,,html-button-response,50,2.1.0,220866,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7967,comprehension,stretcher,4,4,images/stretcher.jpg,images/vase.jpg,images/thermostat.jpg,images/drill.jpg,images/stretcher.jpg,CP,,,,html-button-response,51,2.1.0,220867,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7969,comprehension,taillight,4,1,images/taillight.jpg,images/taillight.jpg,images/sushi.jpg,images/bumper.jpg,images/luggage.jpg,CP,,,,html-button-response,52,2.1.0,220868,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a796b,comprehension,parsley,4,4,images/parsley.jpg,images/kayak.jpg,images/tiara.jpg,images/basil.jpg,images/parsley.jpg,CP,,,,html-button-response,53,2.1.0,220868,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a796d,comprehension,flan,4,3,images/flan.jpg,images/turnstile.jpg,images/fuse.jpg,images/flan.jpg,images/amplifier.jpg,CP,,,,html-button-response,54,2.1.0,220869,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a796f,comprehension,grate,4,2,images/grate.jpg,images/reel.jpg,images/grate.jpg,images/tuba.jpg,images/crate.jpg,CP,,,,html-button-response,55,2.1.0,220870,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7971,comprehension,sauerkraut,4,3,images/sauerkraut.jpg,images/clove.jpg,images/dashboard.jpg,images/sauerkraut.jpg,images/potpourri.jpg,CP,,,,html-button-response,56,2.1.0,220870,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7973,comprehension,bobsled,4,2,images/bobsled.jpg,images/sidecar.jpg,images/bobsled.jpg,images/cilantro.jpg,images/dip.jpg,CP,,,,html-button-response,57,2.1.0,220871,P1751998399439,false,0,,,,,,,,
686d60fbd749baecad1a7975,production,wheel,0,,images/wheel.jpg,,,,,CP,24368,,,survey-html-form,60,2.1.0,316275,P1751998399439,true,0,,,,wheel,wheel,wheel,wheel,
